"Keep your eyes open for our special Back to School items and save A LOT!","Achte auf unsere speziellen Zurück in die Schule Produkte und SPARE!"
"Our customer service is available 24/7. Call us at (800) DEMO-NUMBER.","Unser Kunden-Service ist - rund um die Uhr - an 7 Tagen erreichbar. Rufe uns an unter: (800) DEMO-NUMMER"
"Thank You,","Danke,"
"Shipping Amount","Versandkosten"
"Thank you very much!","Vielen Dank!"
"Your new password is: %s","Dein neues Password lautet: %s"
"Tax Amount","Steuerbetrag"
"Grand Total","Gesamtsumme"
"Magento Products Office","Magento Products Office"
"Discount","Rabatt"
"You can change your password at any time by logging into the ""My Account"" section.","Du kannst Dein Passwort jederzeit im Bereich ""Mein Benutzerkonto"" ändern."
"New Password for %s","Neues Passwort f&uuml;r %s"
"Subtotal","Zwischensumme"
"Dear %s","Hallo %s"
"My Account","Mein Benutzerkonto"
"Log In","Anmelden"
"Grid","Gitter"
"List","Liste"
"Please enter your email below and we'll send you a new password.","Bitte trage hier Deine E-Mail Adresse ein. <br />Wir senden Dir dann umgehend ein neues Passwort zu."
"Recurring Profiles","Wiederkehrende Profile"
"There are no recurring profiles yet.","Es liegen noch keine wiederkehrenden Profile vor."
"You will receive an order confirmation email with details of your order and a link to track its progress.","Du erhältst in kürze eine Bestellbestätigung per Email. Wenn Du aktuell eingeloggt bist und einen Kunden Account in unserem Shop hast, dann klicke unten auf den Link, um eine Kopie Deiner Bestellbestätigung zu drucken."
"Click <a href=""%s"" onclick=""this.target='_blank'"">here to print</a> a copy of your order confirmation.","<a href=""%s"" onclick=""this.target='_blank'"">Bestellbestätigung drucken</a>"